"","coef","se","pval","country","formula","capital","dgvm","iso3"
"log(temp + 1)19",-0.0937247283622857,0.0357242354978215,0.015874123173673,"AM","log","nN","orc","ARM"
"log(temp + 1)20",-0.116557920879632,0.0417051154189636,0.00730016506753857,"AM","log","mN","car","ARM"
"log(temp + 1)21",-0.126732309394335,0.0623816876645727,0.0474241284135204,"AM","log","nN","car","ARM"
"log(temp + 1)22",0.0256362569572371,0.0210485315309264,0.224869690440925,"AM","log","mN","all","ARM"
"log(temp + 1)23",0.00404400179828646,0.0250512333355941,0.871940490876522,"AM","log","nN","all","ARM"
"temp16",0.0163484336375396,0.00729964998026452,0.0278227436125585,"AM","lin","mN","lpj","ARM"
"temp17",0.0147377622433681,0.00869014738390135,0.0936954917866537,"AM","lin","nN","lpj","ARM"
"temp18",0.0889158999452027,0.0223028036102071,0.000670595923438199,"AM","lin","mN","orc","ARM"
"temp19",-0.0446631325569717,0.0178047910754687,0.0204004133597397,"AM","lin","nN","orc","ARM"
"temp20",-0.0609775605653302,0.0184154489115501,0.00171133475934767,"AM","lin","mN","car","ARM"
"temp21",-0.0677881702459704,0.0278714979338084,0.0185579639397991,"AM","lin","nN","car","ARM"
"temp22",0.0115995357755929,0.00788936999657459,0.143273008700601,"AM","lin","mN","all","ARM"
"temp23",0.00797029283112293,0.00964794293233179,0.409858358309627,"AM","lin","nN","all","ARM"
"I(temp^2)24",-0.00181164587362812,0.00134019943009753,0.180164898222413,"AR","sq","mN","lpj","ARG"
"I(temp^2)25",-0.00217494236257828,0.00133994093590289,0.108393067735803,"AR","sq","nN","lpj","ARG"
"I(temp^2)26",-0.0136309227129597,0.00254874234092656,2.64718839882059e-05,"AR","sq","mN","orc","ARG"
"I(temp^2)27",-0.0136019732942319,0.00262114425927416,3.83822249858649e-05,"AR","sq","nN","orc","ARG"
"I(temp^2)28",-0.000918146008732536,0.00198915908015981,0.64634893520258,"AR","sq","mN","car","ARG"
"I(temp^2)29",-0.00123901895672968,0.00227037565323309,0.587628703407945,"AR","sq","nN","car","ARG"
"I(temp^2)30",-0.0032146581355751,0.00109797197070069,0.00386487455591977,"AR","sq","mN","all","ARG"
"I(temp^2)31",-0.00360118015876283,0.0011047958674948,0.00133938951464736,"AR","sq","nN","all","ARG"
"log(temp + 1)24",-0.039372465475642,0.0169776440449729,0.0228798327453957,"AR","log","mN","lpj","ARG"
"log(temp + 1)25",-0.0423808710294096,0.0169531275043405,0.0144170494710753,"AR","log","nN","lpj","ARG"
"log(temp + 1)26",-0.0753853429514256,0.0123934695301686,4.90348601087178e-06,"AR","log","mN","orc","ARG"
"log(temp + 1)27",-0.075864237471647,0.0126903104949589,6.21082096647772e-06,"AR","log","nN","orc","ARG"
"log(temp + 1)28",-0.00927036161335337,0.013015330174401,0.479546746994614,"AR","log","mN","car","ARG"
"log(temp + 1)29",-0.00772766415627983,0.0148542629335453,0.605152932802963,"AR","log","nN","car","ARG"
"log(temp + 1)30",-0.0383652891334029,0.0118844264171274,0.00148606442614144,"AR","log","mN","all","ARG"
