"","coef","se","pval","country","formula","capital","dgvm","iso3"
"log(temp + 1)291",0.169846278305827,0.095234701255411,0.0889738038306374,"EE","log","nN","orc","EST"
"log(temp + 1)292",-0.082199914115282,0.0552411032122006,0.142902921143733,"EE","log","mN","car","EST"
"log(temp + 1)293",-0.0674994932431982,0.0626774577298485,0.286577630681488,"EE","log","nN","car","EST"
"log(temp + 1)294",0.0786103908239211,0.0413669107614865,0.0590258916207231,"EE","log","mN","all","EST"
"log(temp + 1)295",0.0762287679079988,0.0443528482609793,0.0874293300618503,"EE","log","nN","all","EST"
"temp288",0.0224926235456191,0.00363013031689241,2.2048981524568e-08,"EE","lin","mN","lpj","EST"
"temp289",0.0236415001009858,0.00495469652055727,7.85686928376119e-06,"EE","lin","nN","lpj","EST"
"temp290",0.0787904101603561,0.0527933838060066,0.150458338808932,"EE","lin","mN","orc","EST"
"temp291",0.0902487791989559,0.0462933491778641,0.0647162591397041,"EE","lin","nN","orc","EST"
"temp292",-0.0565246029307692,0.0243757999420918,0.0244453094052554,"EE","lin","mN","car","EST"
"temp293",-0.0513369819923624,0.0278736051645039,0.0713261468493571,"EE","lin","nN","car","EST"
"temp294",0.0252435553031793,0.0156123491550145,0.107691532939846,"EE","lin","mN","all","EST"
"temp295",0.0244583625730235,0.0173659519261131,0.160774062283853,"EE","lin","nN","all","EST"
"I(temp^2)296",-0.0552113839255104,0.00727302511630554,4.48134943527593e-11,"EG","sq","mN","lpj","EGY"
"I(temp^2)297",-0.0560865470465428,0.00734427106420551,3.64575568440486e-11,"EG","sq","nN","lpj","EGY"
"I(temp^2)298",0.0116582081773839,0.0208890415132819,0.582676831176271,"EG","sq","mN","orc","EGY"
"I(temp^2)299",0.000212936023356451,0.0210312382142126,0.992017326597168,"EG","sq","nN","orc","EGY"
"I(temp^2)300",0.00606348732357992,0.00140066399754088,7.00692891563117e-05,"EG","sq","mN","car","EGY"
"I(temp^2)301",0.00149997919294163,0.00330287940640754,0.651652903628946,"EG","sq","nN","car","EGY"
"I(temp^2)302",-0.0536321792103081,0.00550854701242954,3.42833739124813e-18,"EG","sq","mN","all","EGY"
"I(temp^2)303",-0.0541016049698225,0.00536138665716885,3.5096567683538e-19,"EG","sq","nN","all","EGY"
"log(temp + 1)296",-0.449934058951779,0.112138480678251,0.000132154239157936,"EG","log","mN","lpj","EGY"
"log(temp + 1)297",-0.454990223519961,0.113637393705986,0.000136152979465949,"EG","log","nN","lpj","EGY"
"log(temp + 1)298",-0.107011929268821,0.108498803024481,0.335216228671115,"EG","log","mN","orc","EGY"
"log(temp + 1)299",-0.101593578332492,0.108303675855994,0.358886258201317,"EG","log","nN","orc","EGY"
"log(temp + 1)300",0.0506946590560492,0.00803697444314608,6.74017942340076e-08,"EG","log","mN","car","EGY"
"log(temp + 1)301",0.0162013451393727,0.0216365738901979,0.457420832413319,"EG","log","nN","car","EGY"
"log(temp + 1)302",-0.305639099127496,0.0702980017874347,2.3224561925841e-05,"EG","log","mN","all","EGY"
"log(temp + 1)303",-0.309438152622538,0.0695550842924009,1.52710108106005e-05,"EG","log","nN","all","EGY"
"temp296",-0.225924694965624,0.0363652105712396,2.05244672389174e-08,"EG","lin","mN","lpj","EGY"
"temp297",-0.229332572264907,0.0367809944355422,1.86258270036319e-08,"EG","lin","nN","lpj","EGY"
"temp298",-0.0186185307980468,0.0545077338183427,0.736064386585876,"EG","lin","mN","orc","EGY"
"temp299",-0.0315421666873985,0.0540916423659464,0.5660196472697,"EG","lin","nN","orc","EGY"
"temp300",0.0220457845152565,0.00376123822650556,3.37997688217216e-07,"EG","lin","mN","car","EGY"
"temp301",0.00648449096228136,0.00982008709645886,0.51201410750946,"EG","lin","nN","car","EGY"
"temp302",-0.179839272382732,0.0255117703898777,3.9318142236282e-11,"EG","lin","mN","all","EGY"
"temp303",-0.182728047531015,0.0250248881362567,9.42655265051206e-12,"EG","lin","nN","all","EGY"
"I(temp^2)304",-0.00762796180250139,0.00145925394362201,1.28634541954737e-06,"ES","sq","mN","lpj","ESP"
"I(temp^2)305",-0.00949462374818091,0.00136450103210965,7.72726740765378e-10,"ES","sq","nN","lpj","ESP"
"I(temp^2)306",-0.0126206159788975,0.00429788698005967,0.00788460424549529,"ES","sq","mN","orc","ESP"
"I(temp^2)307",-0.0148922734567524,0.00620072526984632,0.0256555818427186,"ES","sq","nN","orc","ESP"
"I(temp^2)308",-0.00808075596785979,0.0022861497382754,0.000878335420861005,"ES","sq","mN","car","ESP"
"I(temp^2)309",-0.00745676080915916,0.00399715379972164,0.0678659825431163,"ES","sq","nN","car","ESP"
"I(temp^2)310",-0.00553213275158308,0.00124392722402084,1.53677090602116e-05,"ES","sq","mN","all","ESP"
"I(temp^2)311",-0.00683617790669515,0.00145188014575424,5.03957392003363e-06,"ES","sq","nN","all","ESP"
"log(temp + 1)304",-0.072806517066338,0.0201212701278976,0.000511301429223537,"ES","log","mN","lpj","ESP"
"log(temp + 1)305",-0.0884498372933818,0.0197995397085348,2.51230814007044e-05,"ES","log","nN","lpj","ESP"
"log(temp + 1)306",-0.0452314276480489,0.025082035508733,0.0857029813349364,"ES","log","mN","orc","ESP"
"log(temp + 1)307",-0.0659361620224223,0.033950867187169,0.0656574334687372,"ES","log","nN","orc","ESP"
"log(temp + 1)308",-0.0287457284738587,0.0162373191308532,0.0826460181852422,"ES","log","mN","car","ESP"
"log(temp + 1)309",-0.00713279985282653,0.0270175817257355,0.792839308601491,"ES","log","nN","car","ESP"
"log(temp + 1)310",-0.0395906965339057,0.0140664605101652,0.0054411102617084,"ES","log","mN","all","ESP"
"log(temp + 1)311",-0.0446916493409862,0.0166604994420396,0.00800385351413471,"ES","log","nN","all","ESP"
"temp304",-0.0323018678976863,0.00693775645348093,1.22746498281757e-05,"ES","lin","mN","lpj","ESP"
"temp305",-0.0398251271917403,0.00664428249416894,5.25968731189186e-08,"ES","lin","nN","lpj","ESP"
"temp306",-0.0279086642399088,0.0117893517553021,0.0276009677043179,"ES","lin","mN","orc","ESP"
"temp307",-0.037185884171015,0.0162598134806955,0.0326803118815042,"ES","lin","nN","orc","ESP"
"temp308",-0.0186781630199485,0.00711707138097328,0.0114238189773149,"ES","lin","mN","car","ESP"
"temp309",-0.012161175207612,0.0121499699366009,0.321589929261295,"ES","lin","nN","car","ESP"
"temp310",-0.0204585250041688,0.00536616633382535,0.000190074709805504,"ES","lin","mN","all","ESP"
"temp311",-0.0243685957181089,0.00632063798778141,0.000161815689464994,"ES","lin","nN","all","ESP"
"I(temp^2)312",-0.00911572541161776,0.00326473593641367,0.0065128011811085,"ET","sq","mN","lpj","ETH"
"I(temp^2)313",-0.00307122254279965,0.00362091378960276,0.39880136275199,"ET","sq","nN","lpj","ETH"
"I(temp^2)314",-0.00616686529905998,0.00366125244555084,0.106918572361533,"ET","sq","mN","orc","ETH"
"I(temp^2)315",-0.00464888551331909,0.00361202222729856,0.212080049699205,"ET","sq","nN","orc","ETH"
"I(temp^2)316",-0.000535895442920078,0.00170670730888166,0.754806585934011,"ET","sq","mN","car","ETH"
"I(temp^2)317",-0.000643232427452879,0.00180603998336051,0.723192710541625,"ET","sq","nN","car","ETH"
"I(temp^2)318",-0.0128066325573694,0.00278241281782769,7.95941831433104e-06,"ET","sq","mN","all","ETH"
"I(temp^2)319",-0.00752499107513916,0.00291376943707491,0.0106198585094942,"ET","sq","nN","all","ETH"
"log(temp + 1)312",-0.260782713777796,0.0327648197882965,8.41433618151692e-12,"ET","log","mN","lpj","ETH"
"log(temp + 1)313",-0.199366877903059,0.0415251888796234,7.00315949539432e-06,"ET","log","nN","lpj","ETH"
"log(temp + 1)314",-0.0577226343200075,0.0159380244472217,0.0015992380492208,"ET","log","mN","orc","ETH"
"log(temp + 1)315",-0.0549031237851627,0.0159393021385951,0.00243008344168312,"ET","log","nN","orc","ETH"
"log(temp + 1)316",0.00160221356840526,0.0111635743490692,0.886443878509477,"ET","log","mN","car","ETH"
"log(temp + 1)317",0.00163322035017402,0.0117744163580719,0.890226186908947,"ET","log","nN","car","ETH"
"log(temp + 1)318",-0.184911381271979,0.0271016598434083,1.38269047281813e-10,"ET","log","mN","all","ETH"
"log(temp + 1)319",-0.157658563523527,0.029648525113421,3.16053723310349e-07,"ET","log","nN","all","ETH"
"temp312",-0.074840958518159,0.0134423994384985,3.1796931669526e-07,"ET","lin","mN","lpj","ETH"
"temp313",-0.0480412348630821,0.016038100774806,0.00362329410124164,"ET","lin","nN","lpj","ETH"
"temp314",-0.0248451195241285,0.00847150294419707,0.0079508484269384,"ET","lin","mN","orc","ETH"
"temp315",-0.0220366569093016,0.00852587746656573,0.0172858154768505,"ET","lin","nN","orc","ETH"
"temp316",-0.000444311475477779,0.0050687155408695,0.930492102077747,"ET","lin","mN","car","ETH"
"temp317",-0.000595677494976376,0.00535557858908055,0.911874027556789,"ET","lin","nN","car","ETH"
"temp318",-0.0700438417725436,0.010962587394423,1.44180741068782e-09,"ET","lin","mN","all","ETH"
"temp319",-0.0526599452218827,0.0118535709257432,1.56774551668806e-05,"ET","lin","nN","all","ETH"
"I(temp^2)320",-0.00486591128244325,0.0011756244841898,8.40701859630647e-05,"FI","sq","mN","lpj","FIN"
"I(temp^2)321",-0.0034547389015999,0.00326528028485623,0.293152220018262,"FI","sq","nN","lpj","FIN"
"I(temp^2)322",-0.0983399818798089,0.0195544948515284,5.59694404855642e-05,"FI","sq","mN","orc","FIN"
"I(temp^2)323",-0.103939741847147,0.0221819439858618,0.000126266585304786,"FI","sq","nN","orc","FIN"
"I(temp^2)324",0.00108988470703047,0.00354593545891562,0.75981972537357,"FI","sq","mN","car","FIN"
"I(temp^2)325",0.00317396398160522,0.00340140417142209,0.355147997426196,"FI","sq","nN","car","FIN"
"I(temp^2)326",-0.0075093058700685,0.002235790506712,0.0009600353394193,"FI","sq","mN","all","FIN"
"I(temp^2)327",-0.00279660972917381,0.00387782957568199,0.471756210743466,"FI","sq","nN","all","FIN"
"log(temp + 1)320",-0.040162529640938,0.0160583077540127,0.0143733787601364,"FI","log","mN","lpj","FIN"
"log(temp + 1)321",0.0505907124703865,0.0420412419171737,0.232300048758789,"FI","log","nN","lpj","FIN"
"log(temp + 1)322",-0.400333634974222,0.125616329387405,0.00443570449650459,"FI","log","mN","orc","FIN"
"log(temp + 1)323",-0.433595990433519,0.137209851104815,0.00472043366367132,"FI","log","nN","orc","FIN"
"log(temp + 1)324",0.00316481260475246,0.0231400064181856,0.89175265902302,"FI","log","mN","car","FIN"
"log(temp + 1)325",0.0225945318536425,0.0219755573265277,0.308723320924206,"FI","log","nN","car","FIN"
"log(temp + 1)326",-0.0673843481721461,0.0267211467607541,0.0125645144532233,"FI","log","mN","all","FIN"
"log(temp + 1)327",0.0261952546279974,0.0430811709316277,0.543942016364365,"FI","log","nN","all","FIN"
"temp320",-0.0198223455406547,0.00558253465128077,0.000639457728850804,"FI","lin","mN","lpj","FIN"
"temp321",0.00178560384742003,0.0152569834540232,0.907118352264567,"FI","lin","nN","lpj","FIN"
"temp322",-0.235359276960732,0.0551886264172554,0.000345078904125,"FI","lin","mN","orc","FIN"
"temp323",-0.252060054641531,0.0611217454713909,0.000483165384595293,"FI","lin","nN","orc","FIN"
"temp324",0.00245307612054337,0.0105189409021567,0.816535221698638,"FI","lin","mN","car","FIN"
"temp325",0.0107418412164074,0.0100208364664602,0.288788719556261,"FI","lin","nN","car","FIN"
"temp326",-0.0317428255771353,0.00993823380280581,0.00166270831374915,"FI","lin","mN","all","FIN"
"temp327",-0.000499720465642524,0.0166524644486819,0.976094037089603,"FI","lin","nN","all","FIN"
"I(temp^2)328",-0.00766738204558844,0.000940737433460034,3.5174388829594e-12,"FR","sq","mN","lpj","FRA"
"I(temp^2)329",-0.00829691614116826,0.00130835856047932,1.1734711808025e-08,"FR","sq","nN","lpj","FRA"
"I(temp^2)330",-0.00302728035120277,0.00351195447819757,0.398428003583826,"FR","sq","mN","orc","FRA"
"I(temp^2)331",-0.00569782785222712,0.00498537544285124,0.265939645647931,"FR","sq","nN","orc","FRA"
"I(temp^2)332",0.00206046926434088,0.00336047630768018,0.54250338022829,"FR","sq","mN","car","FRA"
"I(temp^2)333",0.00749256832837118,0.00306705692286225,0.0180717039533767,"FR","sq","nN","car","FRA"
"I(temp^2)334",-0.00863336501280102,0.00156584592544138,1.23640572384728e-07,"FR","sq","mN","all","FRA"
"I(temp^2)335",-0.00740676514180635,0.00156792327854679,4.71165088981351e-06,"FR","sq","nN","all","FRA"
"log(temp + 1)328",-0.0513460284181416,0.0153722357336303,0.00126192297882575,"FR","log","mN","lpj","FRA"
"log(temp + 1)329",-0.0442198857082354,0.0200496730225238,0.0302170320559306,"FR","log","nN","lpj","FRA"
"log(temp + 1)330",0.00548305401154104,0.0187511584193519,0.772841546939931,"FR","log","mN","orc","FRA"
"log(temp + 1)331",0.0163516666500875,0.026368997301222,0.541856936375423,"FR","log","nN","orc","FRA"
"log(temp + 1)332",0.0178471952815933,0.0219064530312741,0.419032011022052,"FR","log","mN","car","FRA"
"log(temp + 1)333",0.0497791670693518,0.0201328232435306,0.0167907426616523,"FR","log","nN","car","FRA"
"log(temp + 1)334",-0.0399523267291664,0.018238113665721,0.0297954902114836,"FR","log","mN","all","FRA"
"log(temp + 1)335",-0.0182549184181376,0.0185940475909761,0.327565043258372,"FR","log","nN","all","FRA"
"temp328",-0.0287750168328572,0.00495686671234807,1.17388910185272e-07,"FR","lin","mN","lpj","FRA"
"temp329",-0.0286158888283974,0.00671293056280802,5.36275242529082e-05,"FR","lin","nN","lpj","FRA"
"temp330",-0.00167494689291445,0.00925901932514938,0.858181385438658,"FR","lin","mN","orc","FRA"
"temp331",-0.00112336162140643,0.0132042709946346,0.9330071453267,"FR","lin","nN","orc","FRA"
"temp332",0.00736499524039435,0.00995914353103811,0.462981218802938,"FR","lin","mN","car","FRA"
"temp333",0.0235669584738833,0.00906591859031128,0.0121797754837291,"FR","lin","nN","car","FRA"
"temp334",-0.0268863084003122,0.00691151806874658,0.000141938211469669,"FR","lin","mN","all","FRA"
"temp335",-0.0194305028190087,0.00702037523282112,0.0062488245597471,"FR","lin","nN","all","FRA"
"I(temp^2)336",-0.0015164952370451,0.000342410255162023,2.9008427509576e-05,"GA","sq","mN","lpj","GAB"
"I(temp^2)337",-0.0015716270847163,0.000457811000874837,0.000938480004653551,"GA","sq","nN","lpj","GAB"
"I(temp^2)338",0.00338648765814891,0.00348846536691291,0.342713519397249,"GA","sq","mN","orc","GAB"
"I(temp^2)339",0.00338254272086608,0.00349739492344035,0.344471087559743,"GA","sq","nN","orc","GAB"
"I(temp^2)340",-0.000610743378420858,0.000304735114157604,0.0503754916804259,"GA","sq","mN","car","GAB"
"I(temp^2)341",0.00121289784308335,0.00100873657094322,0.234764258594855,"GA","sq","nN","car","GAB"
"I(temp^2)342",-0.00226234246461352,0.000486085681368711,6.37762868504766e-06,"GA","sq","mN","all","GAB"
"I(temp^2)343",-0.00154114761382353,0.000481709892356211,0.00163401572738833,"GA","sq","nN","all","GAB"
"log(temp + 1)336",-0.0130741173447156,0.00470519379003606,0.00676532551994129,"GA","log","mN","lpj","GAB"
"log(temp + 1)337",-0.0138299477845589,0.00611674307647012,0.0264081036177354,"GA","log","nN","lpj","GAB"
"log(temp + 1)338",0.0280992055108003,0.0177499942267315,0.128353954411547,"GA","log","mN","orc","GAB"
"log(temp + 1)339",0.0286358326431284,0.017782403549575,0.122252206492546,"GA","log","nN","orc","GAB"
"log(temp + 1)340",-0.00409851971791881,0.00199385046875678,0.0449600617253443,"GA","log","mN","car","GAB"
"log(temp + 1)341",0.00779610777526086,0.00656120166002003,0.240253292007354,"GA","log","nN","car","GAB"
"log(temp + 1)342",-0.0103678085388813,0.00537499889331829,0.0553527470917265,"GA","log","mN","all","GAB"
"log(temp + 1)343",-0.00736493180990223,0.00539955581374523,0.174313004397731,"GA","log","nN","all","GAB"
"temp336",-0.00607796373712169,0.00163859945845804,0.000377034264232415,"GA","lin","mN","lpj","GAB"
"temp337",-0.00626068375537465,0.00216275006413532,0.00486064570426072,"GA","lin","nN","lpj","GAB"
"temp338",0.0125261872072061,0.00884126535237466,0.171210078192974,"GA","lin","mN","orc","GAB"
"temp339",0.0126867748230739,0.00886224779812895,0.166987487759825,"GA","lin","nN","orc","GAB"
"temp340",-0.00200804394311451,0.000898051091986529,0.0297549377328521,"GA","lin","mN","car","GAB"
"temp341",0.00371199735683602,0.00297987198938837,0.218570713284671,"GA","lin","nN","car","GAB"
"temp342",-0.00693577707282707,0.00208530636349715,0.00107228240152136,"GA","lin","mN","all","GAB"
"temp343",-0.00471045970083883,0.00207830610933973,0.0246386394568819,"GA","lin","nN","all","GAB"
"I(temp^2)344",-0.0106358117372833,0.00128333451159497,1.87864575603113e-12,"GB","sq","mN","lpj","GBR"
"I(temp^2)345",-0.0108015926218508,0.00121553760404483,1.21181162586638e-13,"GB","sq","nN","lpj","GBR"
"I(temp^2)346",-0.0204788431914347,0.015558242064803,0.202270518667869,"GB","sq","mN","orc","GBR"
"I(temp^2)347",-0.01894608865992,0.017978448993614,0.303939063681902,"GB","sq","nN","orc","GBR"
"I(temp^2)348",0.00536700085323318,0.00175216205084883,0.00349405222637787,"GB","sq","mN","car","GBR"
"I(temp^2)349",0.00642449504138562,0.00218553769028127,0.00492846201871254,"GB","sq","nN","car","GBR"
"I(temp^2)350",-0.0138923544367009,0.002365679213327,2.09506384977557e-08,"GB","sq","mN","all","GBR"
"I(temp^2)351",-0.0131888953227027,0.00256179816405864,6.98189359529529e-07,"GB","sq","nN","all","GBR"
"log(temp + 1)344",-0.0619903224597371,0.0214219723463571,0.00487477858506144,"GB","log","mN","lpj","GBR"
"log(temp + 1)345",-0.0631523250552122,0.0207958991432821,0.00320555410424029,"GB","log","nN","lpj","GBR"
"log(temp + 1)346",-0.0804582277934746,0.0829230300121403,0.342952508321695,"GB","log","mN","orc","GBR"
"log(temp + 1)347",-0.0929409320442233,0.0949345713180223,0.338724561603969,"GB","log","nN","orc","GBR"
"log(temp + 1)348",0.0311872693840476,0.0116258850662477,0.00982274563625409,"GB","log","mN","car","GBR"
"log(temp + 1)349",0.0427759967834778,0.0142411395073876,0.00412633620596201,"GB","log","nN","car","GBR"
"log(temp + 1)350",-0.0799610030878176,0.028008233110374,0.00482229500307317,"GB","log","mN","all","GBR"
"log(temp + 1)351",-0.0722430469587139,0.0299485807747899,0.0168823429137094,"GB","log","nN","all","GBR"
"temp344",-0.0376537082683506,0.00691719197468855,5.31500063912674e-07,"GB","lin","mN","lpj","GBR"
"temp345",-0.0383195378264801,0.00667042054996356,1.51454626842776e-07,"GB","lin","nN","lpj","GBR"
"temp346",-0.0469839740516029,0.0406008008918572,0.260177212753852,"GB","lin","mN","orc","GBR"
"temp347",-0.0490557245621583,0.0466424496413815,0.30487148343658,"GB","lin","nN","orc","GBR"
"temp348",0.015881689439958,0.00519235077352945,0.00353762667713448,"GB","lin","mN","car","GBR"
"temp349",0.0203592748974878,0.00640924306872399,0.00253026819258505,"GB","lin","nN","car","GBR"
"temp350",-0.0464401374919083,0.0105021626319003,1.7082808168171e-05,"GB","lin","mN","all","GBR"
"temp351",-0.0431479998766886,0.0113082746079482,0.00018787800625909,"GB","lin","nN","all","GBR"
"I(temp^2)352",0.00207164534094306,0.000618124337687431,0.00121744494100926,"GE","sq","mN","lpj","GEO"
"I(temp^2)353",0.0028672022011815,0.000845028324511012,0.00106664224560905,"GE","sq","nN","lpj","GEO"
"I(temp^2)354",-0.0078513741791243,0.00417696116063871,0.0740982658830614,"GE","sq","mN","orc","GEO"
"I(temp^2)355",-0.0163982643438578,0.00602600465286797,0.0127919903439306,"GE","sq","nN","orc","GEO"
"I(temp^2)356",-0.0206479142734371,0.0073812918290057,0.00725110883215303,"GE","sq","mN","car","GEO"
"I(temp^2)357",-0.0207568450464678,0.00877485165574769,0.0218460884297587,"GE","sq","nN","car","GEO"
"I(temp^2)358",0.000415155938073698,0.0017749447765972,0.815336053683744,"GE","sq","mN","all","GEO"
"I(temp^2)359",0.000948807752739045,0.00221558320200595,0.668997896126702,"GE","sq","nN","all","GEO"
"log(temp + 1)352",0.0382515668537928,0.00739894331831466,1.62253732146191e-06,"GE","log","mN","lpj","GEO"
"log(temp + 1)353",0.0621111069242901,0.00938563914162155,3.49940071075244e-09,"GE","log","nN","lpj","GEO"
"log(temp + 1)354",-0.0456424462486614,0.0220283192570828,0.0507715665909212,"GE","log","mN","orc","GEO"
"log(temp + 1)355",-0.0755383384309164,0.0329787769284435,0.0324398853082245,"GE","log","nN","orc","GEO"
"log(temp + 1)356",-0.0681563660181844,0.0508377227793838,0.185970607154919,"GE","log","mN","car","GEO"
"log(temp + 1)357",-0.0596080571854194,0.0597566356094707,0.323224747479305,"GE","log","nN","car","GEO"
"log(temp + 1)358",0.0115021084151763,0.0195592538425577,0.557242629396744,"GE","log","mN","all","GEO"
"log(temp + 1)359",0.0282578132891981,0.0240722266499393,0.242030650243194,"GE","log","nN","all","GEO"
"temp352",0.012764610907851,0.00271895916924663,1.05772363205787e-05,"GE","lin","mN","lpj","GEO"
"temp353",0.0196990149436641,0.00357460631883298,4.0239084457232e-07,"GE","lin","nN","lpj","GEO"
"temp354",-0.0230121418031176,0.0107145983102839,0.0435606742824705,"GE","lin","mN","orc","GEO"
"temp355",-0.0417741311810419,0.015729808148162,0.0147890337195254,"GE","lin","nN","orc","GEO"
"temp356",-0.0434311828077324,0.0227044658412768,0.0613847324549454,"GE","lin","mN","car","GEO"
"temp357",-0.0411601971368914,0.0268021997131411,0.130792639470845,"GE","lin","nN","car","GEO"
"temp358",0.00334773007520602,0.00758111125655127,0.659329203911814,"GE","lin","mN","all","GEO"
"temp359",0.00829643210378237,0.00938166307033972,0.377727667712899,"GE","lin","nN","all","GEO"
"I(temp^2)360",-0.0142268577882468,0.00177255773887785,6.20098150514381e-12,"GH","sq","mN","lpj","GHA"
"I(temp^2)361",-0.0137503572369269,0.00177789292701063,2.34412738894515e-11,"GH","sq","nN","lpj","GHA"
"I(temp^2)362",3.88755828154952e-05,0.0024963823262814,0.987722236531546,"GH","sq","mN","orc","GHA"
"I(temp^2)363",0.00450101187517984,0.00450145448780248,0.328741159036377,"GH","sq","nN","orc","GHA"
"I(temp^2)364",0.00174155655561435,0.00060014436200901,0.0054646718984495,"GH","sq","mN","car","GHA"
"I(temp^2)365",0.00275262616254813,0.00131995210153281,0.0420561564103409,"GH","sq","nN","car","GHA"
"I(temp^2)366",-0.0146529588364036,0.00170846269650644,4.91981667482533e-15,"GH","sq","mN","all","GHA"
"I(temp^2)367",-0.014103488180028,0.00158174186929461,6.04144517343329e-16,"GH","sq","nN","all","GHA"
"log(temp + 1)360",-0.18939617381531,0.022333630555631,7.78026042854701e-13,"GH","log","mN","lpj","GHA"
"log(temp + 1)361",-0.185536297477006,0.0222764384494194,1.55620682201404e-12,"GH","log","nN","lpj","GHA"
"log(temp + 1)362",0.00788190103359314,0.0129831146376091,0.550300399396555,"GH","log","mN","orc","GHA"
"log(temp + 1)363",-0.0140705174939307,0.0239571153687843,0.563250351825089,"GH","log","nN","orc","GHA"
"log(temp + 1)364",0.0090858791708961,0.00404458861475323,0.0290350717963808,"GH","log","mN","car","GHA"
"log(temp + 1)365",0.0169704486329774,0.0086427976604015,0.0550471018344668,"GH","log","nN","car","GHA"
"log(temp + 1)366",-0.142417392267645,0.0194885203002712,9.11422003247377e-12,"GH","log","mN","all","GHA"
"log(temp + 1)367",-0.145078052850559,0.018471158154243,3.80982615671813e-13,"GH","log","nN","all","GHA"
"temp360",-0.0723642383834802,0.00755039608329639,4.96955633706135e-15,"GH","lin","mN","lpj","GHA"
"temp361",-0.0705154482164781,0.00758492766536391,1.84907984768024e-14,"GH","lin","nN","lpj","GHA"
"temp362",0.00240975595481308,0.0064427250517808,0.712133733961337,"GH","lin","mN","orc","GHA"
"temp363",0.000249512309127045,0.0119275277203884,0.983507739099057,"GH","lin","nN","orc","GHA"
"temp364",0.00467559657035323,0.00180811854491507,0.012612251393074,"GH","lin","mN","car","GHA"
"temp365",0.00820730787719836,0.00391061693365077,0.0408121027129905,"GH","lin","nN","car","GHA"
"temp366",-0.0632720077374853,0.0072288297315587,1.66583398039069e-15,"GH","lin","mN","all","GHA"
"temp367",-0.0625641100090263,0.00675562439658263,6.99223289353092e-17,"GH","lin","nN","all","GHA"
"I(temp^2)368",-0.0194640489779953,0.0039458781947071,4.17931543369146e-06,"GM","sq","mN","lpj","GMB"
"I(temp^2)369",-0.0187096196917871,0.00423857022377835,3.06510440882549e-05,"GM","sq","nN","lpj","GMB"
"I(temp^2)370",0.001543975969252,0.00841380326601061,0.856161959797616,"GM","sq","mN","orc","GMB"
"I(temp^2)371",-0.00519396224880335,0.00940685553250873,0.586676922434514,"GM","sq","nN","orc","GMB"
"I(temp^2)372",-0.00242847908931852,0.00156933711140822,0.127937035451946,"GM","sq","mN","car","GMB"
"I(temp^2)373",0.00277197619402302,0.00388921414211914,0.479258628987981,"GM","sq","nN","car","GMB"
"I(temp^2)374",-0.0201443823034719,0.00273043306130182,6.10797430763019e-12,"GM","sq","mN","all","GMB"
"I(temp^2)375",-0.0177545802413148,0.00300731997702916,1.78835357347814e-08,"GM","sq","nN","all","GMB"
"log(temp + 1)368",-0.208750195057774,0.0573255772980698,0.000473405045019076,"GM","log","mN","lpj","GMB"
"log(temp + 1)369",-0.18667379871225,0.0571136814385211,0.00158109683606411,"GM","log","nN","lpj","GMB"
"log(temp + 1)370",-0.0475300835941822,0.0432899541552663,0.28465745569036,"GM","log","mN","orc","GMB"
"log(temp + 1)371",-0.0873212800317733,0.0459189681117331,0.071026820971216,"GM","log","nN","orc","GMB"
"log(temp + 1)372",-0.0242826378602045,0.009209383432036,0.0110662061500447,"GM","log","mN","car","GMB"
"log(temp + 1)373",0.00853618612624311,0.0254005536994812,0.738202123338434,"GM","log","nN","car","GMB"
"log(temp + 1)374",-0.181923444461231,0.0349782518039873,5.46413085312359e-07,"GM","log","mN","all","GMB"
"log(temp + 1)375",-0.142420358751719,0.0349913229620414,7.08618097360818e-05,"GM","log","nN","all","GMB"
"temp368",-0.0878979349693947,0.0192008134518478,1.65431691601123e-05,"GM","lin","mN","lpj","GMB"
"temp369",-0.0813712294882561,0.019972752639075,0.000106093285939643,"GM","lin","nN","lpj","GMB"
"temp370",-0.0134579448250436,0.0217064533467226,0.541929348059255,"GM","lin","mN","orc","GMB"
"temp371",-0.0329472887740797,0.023463194396031,0.174873388206698,"GM","lin","nN","orc","GMB"
"temp372",-0.0101537371939284,0.00435783856073937,0.0238017719934417,"GM","lin","mN","car","GMB"
"temp373",0.00641986232526189,0.0115340993870384,0.580236076254952,"GM","lin","nN","car","GMB"
"temp374",-0.0837442204628375,0.0125211982477553,2.89095597940584e-10,"GM","lin","mN","all","GMB"
"temp375",-0.068318827548035,0.0131666521405376,5.7855209132063e-07,"GM","lin","nN","all","GMB"
"I(temp^2)376",-0.0122086881291606,0.00136688031243021,9.8368935062702e-14,"GN","sq","mN","lpj","GIN"
"I(temp^2)377",-0.0106024812264803,0.0014216699082962,8.19907675911788e-11,"GN","sq","nN","lpj","GIN"
"I(temp^2)378",0.00157194148287019,0.00122043675978555,0.211753073046459,"GN","sq","mN","orc","GIN"
"I(temp^2)379",-0.00248308532288432,0.00612378834145233,0.689224757173953,"GN","sq","nN","orc","GIN"
"I(temp^2)380",0.00360992424716699,0.00116974830412744,0.00327452655095658,"GN","sq","mN","car","GIN"
"I(temp^2)381",-0.00250211272608363,0.00296844326481602,0.403218018551122,"GN","sq","nN","car","GIN"
"I(temp^2)382",-0.0129807625656578,0.00123716228657389,2.60035811799408e-20,"GN","sq","mN","all","GIN"
