year,countrycode,intensity
2117,ABW,3.692113017245994e-8
2118,ABW,3.649820135053338e-8
2119,ABW,3.608485272287147e-8
2120,ABW,3.568086728657754e-8
2121,ABW,3.528603416907864e-8
2122,ABW,3.490014844846187e-8
2123,ABW,3.452301097972905e-8
2124,ABW,3.4154428226766867e-8
2125,ABW,3.37942120998369e-8
2126,ABW,3.34421797983972e-8
2127,ABW,3.30981536590741e-8
2128,ABW,3.276196100860956e-8
2129,ABW,3.2433434021615774e-8
2130,ABW,3.211240958297503e-8
2131,ABW,3.1798729154728715e-8
2132,ABW,3.149223864730497e-8
2133,ABW,3.11927882949403e-8
2134,ABW,3.0900232535155323e-8
2135,ABW,3.061442989215045e-8
2136,ABW,3.033524286399167e-8
2137,ABW,3.0062537813461694e-8
2138,ABW,2.9796184862456256e-8
2139,ABW,2.953605778980945e-8
2140,ABW,2.9282033932436614e-8
2141,ABW,2.903399408968689e-8
2142,ABW,2.879182243080196e-8
2143,ABW,2.8555406405380807e-8
2144,ABW,2.8324636656754282e-8
2145,ABW,2.809940693817658e-8
2146,ABW,2.7879614031744163e-8
2147,ABW,2.7665157669955932e-8
2148,ABW,2.7455940459831484e-8
2149,ABW,2.725186780950751e-8
2150,ABW,2.705284785723499e-8
2151,ABW,2.6858791402702957e-8
2152,ABW,2.6669611840617108e-8
2153,ABW,2.6485225096464216e-8
2154,ABW,2.6305549564395807e-8
2155,ABW,2.613050604716701e-8
2156,ABW,2.596001769806877e-8
2157,ABW,2.579400996479398e-8
2158,ABW,2.5632410535180174e-8
2159,ABW,2.547514928477356e-8
2160,ABW,2.5322158226161245e-8
2161,ABW,2.517337146002042e-8
2162,ABW,2.5028725127835205e-8
2163,ABW,2.4888157366233695e-8
2164,ABW,2.475160826289944e-8
2165,ABW,2.4619019814013502e-8
2166,ABW,2.4490335883184635e-8
2167,ABW,2.436550216182695e-8
2168,ABW,2.4244466130945872e-8
2169,ABW,2.4127177024294766e-8
2170,ABW,2.4013585792865977e-8
2171,ABW,2.3903645070681514e-8
2172,ABW,2.3797309141849994e-8
2173,ABW,2.3694533908857672e-8
2174,ABW,2.3595276862062805e-8
2175,ABW,2.3499497050363732e-8
2176,ABW,2.340715505301236e-8
2177,ABW,2.331821295254582e-8
2178,ABW,2.323263430881027e-8
2179,ABW,2.315038413405192e-8
2180,ABW,2.3071428869051376e-8
2181,ABW,2.2995736360278544e-8
2182,ABW,2.2923275838046223e-8
2183,ABW,2.2854017895641693e-8
2184,ABW,2.2787934469416353e-8
2185,ABW,2.2724998819814565e-8
2186,ABW,2.2665185513323768e-8
2187,ABW,2.260847040532872e-8
2188,ABW,2.2554830623853697e-8
2189,ABW,2.2504244554177353e-8
2190,ABW,2.245669182430568e-8
2191,ABW,2.2412153291289398e-8
2192,ABW,2.237061102837293e-8
2193,ABW,2.2332048312962875e-8
2194,ABW,2.229644961540463e-8
2195,ABW,2.2263800588556637e-8
2196,ABW,2.2234088058152495e-8
2197,ABW,2.220730001394176e-8
2198,ABW,2.218342560160121e-8
2199,ABW,2.2162455115408894e-8
2200,ABW,2.2144379991674032e-8
2201,ABW,2.2129192802916587e-8
2202,ABW,2.2116887252790974e-8
2203,ABW,2.2107458171748968e-8
2204,ABW,2.21009015134378e-8
2205,ABW,2.2097214351829797e-8
2206,ABW,2.2096394879080797e-8
2207,ABW,2.2096394879080797e-8
2208,ABW,2.2096394879080797e-8
2209,ABW,2.2096394879080797e-8
2210,ABW,2.2096394879080797e-8
2211,ABW,2.2096394879080797e-8
2212,ABW,2.2096394879080797e-8
2213,ABW,2.2096394879080797e-8
2214,ABW,2.2096394879080797e-8
2215,ABW,2.2096394879080797e-8
2216,ABW,2.2096394879080797e-8
2217,ABW,2.2096394879080797e-8
2218,ABW,2.2096394879080797e-8
2219,ABW,2.2096394879080797e-8
2220,ABW,2.2096394879080797e-8
2221,ABW,2.2096394879080797e-8
2222,ABW,2.2096394879080797e-8
2223,ABW,2.2096394879080797e-8
2224,ABW,2.2096394879080797e-8
2225,ABW,2.2096394879080797e-8
2226,ABW,2.2096394879080797e-8
2227,ABW,2.2096394879080797e-8
2228,ABW,2.2096394879080797e-8
2229,ABW,2.2096394879080797e-8
2230,ABW,2.2096394879080797e-8
2231,ABW,2.2096394879080797e-8
2232,ABW,2.2096394879080797e-8
2233,ABW,2.2096394879080797e-8
2234,ABW,2.2096394879080797e-8
2235,ABW,2.2096394879080797e-8
2236,ABW,2.2096394879080797e-8
2237,ABW,2.2096394879080797e-8
