countrycode
AGO
ALB
ARE
ARG
ARM
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BIH
BLR
BLZ
BOL
BRA
BWA
CAF
CAN
CHE
CHL
CHN
CIV
CMR
COD
COG
COL
COM
CRI
CZE
DEU
DJI
DNK
DOM
ECU
EGY
ESP
EST
ETH
FIN
FRA
GAB
GBR
GEO
GHA
GIN
GMB
GNB
GRC
GTM
GUY
HND
HRV
HTI
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KOR
KWT
LAO
LBN
LBR
LCA
LKA
LSO
LTU
LUX
LVA
MAR
MDA
MDG
MDV
MEX
MKD
MLI
MLT
MNE
MNG
MOZ
MRT
MUS
MWI
MYS
NAM
NER
NGA
NIC
NLD
NOR
NPL
NZL
OMN
PAK
PAN
PER
PHL
PNG
POL
PRT
PRY
QAT
ROU
RUS
RWA
SAU
SDN
SEN
SGP
SLB
SLE
SLV
SRB
STP
SUR
SVK
SVN
SWE
SWZ
TCD
TGO
THA
TJK
TTO
TUN
TUR
TZA
UGA
UKR
URY
USA
VNM
ZAF
ZMB
ZWE
ABW
AFG
ALA
AND
BHS
BRB
BRN
BTN
COK
CPV
CUB
CYM
CYN
CYP
DZA
ERI
ESH
FJI
FLK
Gaza
GNQ
GRL
GUF
HKG
JEY
KAS
KOS
LBY
LIE
MAC
MCO
MMR
NCL
PRI
PRK
PSE
PYF
SMR
SOL
SOM
SSD
SYR
TCA
TKM
TLS
TON
TWN
UZB
VAT
VCT
VEN
VIR
VUT
WSM
YEM
